Date,Open,High,Low,Close,Price,Volume
10-01-2018,332.200012,337,330,334.799988,334.799988,4309900
11-01-2018,335.23999,344.809998,333.26001,337.950012,337.950012,6645500
12-01-2018,338.630005,340.410004,333.670013,336.220001,336.220001,4825100
16-01-2018,337.540009,345,334.799988,340.059998,340.059998,6474300
17-01-2018,340.470001,349,339.75,347.160004,347.160004,7103500
18-01-2018,345.670013,352.299988,343.73999,344.570007,344.570007,5685800
19-01-2018,345,350.589996,342.600006,350.019989,350.019989,4888300
22-01-2018,349.399994,357.829987,349.200012,351.559998,351.559998,6210400
23-01-2018,360,360.5,351,352.790009,352.790009,5465400
24-01-2018,354.579987,354.75,343.519989,345.890015,345.890015,5287500
25-01-2018,348.269989,349.200012,336.399994,337.640015,337.640015,6740300
26-01-2018,341.5,344,335.709991,342.850006,342.850006,4539400
29-01-2018,339.850006,350.850006,338.279999,349.529999,349.529999,4747100
30-01-2018,345.140015,348.269989,342.170013,345.820007,345.820007,4717700
31-01-2018,347.51001,356.190002,345.190002,354.309998,354.309998,6214100
01-02-2018,351,359.660004,348.630005,349.25,349.25,4197700
02-02-2018,348.440002,351.950012,340.51001,343.75,343.75,3704800
05-02-2018,337.970001,344.470001,333,333.130005,333.130005,4464100
06-02-2018,325.209991,336.220001,323.5,333.970001,333.970001,5088400
07-02-2018,338.98999,346,335.660004,345,345,6969200
08-02-2018,343.309998,348.619995,314.600006,315.230011,315.230011,10314600
09-02-2018,319.929993,320.980011,294.76001,310.420013,310.420013,12933700
12-02-2018,316.130005,318.079987,306.25,315.730011,315.730011,6227800
13-02-2018,315.019989,324.190002,312.51001,323.660004,323.660004,4560200
14-02-2018,320.839996,326.170013,318.519989,322.309998,322.309998,3950700
15-02-2018,324.5,334.119995,322.399994,334.070007,334.070007,5912900
16-02-2018,332.5,343.119995,331.640015,335.48999,335.48999,5642600
20-02-2018,334.470001,340.839996,331.5,334.769989,334.769989,4009400
21-02-2018,336.029999,339.690002,333.170013,333.299988,333.299988,3219600
22-02-2018,335.529999,347.440002,334.75,346.170013,346.170013,6969800
23-02-2018,347.829987,354.98999,347.100006,352.049988,352.049988,5817400
26-02-2018,353.5,359,352.359985,357.420013,357.420013,4340000
27-02-2018,356.25,359.98999,350.01001,350.98999,350.98999,4797400
28-02-2018,352.570007,355.23999,342.220001,343.059998,343.059998,6069700
01-03-2018,345.01001,348.670013,330.070007,330.929993,330.929993,6885600
02-03-2018,326.980011,335.220001,322.970001,335.119995,335.119995,5092800
05-03-2018,332.390015,337.75,329.290009,333.350006,333.350006,3823800
06-03-2018,333.75,336.369995,327.029999,328.200012,328.200012,4285700
07-03-2018,325.440002,332.5,321.73999,332.299988,332.299988,5007300
08-03-2018,332.859985,333.299988,326.269989,329.100006,329.100006,3566200
09-03-2018,324.100006,328.48999,322.369995,327.170013,327.170013,5506800
12-03-2018,328.609985,347.209991,326.5,345.51001,345.51001,8264000
13-03-2018,328.609985,347.209991,326.5,341.839996,341.839996,5965800
14-03-2018,336.76001,339.809998,323.929993,326.630005,326.630005,7967400
15-03-2018,329.380005,332.850006,321.100006,325.600006,325.600006,6564800
16-03-2018,322.929993,327.399994,319.070007,321.350006,321.350006,6117300
19-03-2018,316.5,320.75,309.670013,313.559998,313.559998,7484300
20-03-2018,314.869995,316.25,308.76001,310.549988,310.549988,4764300
21-03-2018,310.25,322.440002,310.190002,316.529999,316.529999,5958400
22-03-2018,313.890015,318.820007,308.179993,309.100006,309.100006,4939800
23-03-2018,311.25,311.25,300.450012,301.540009,301.540009,6654900
26-03-2018,307.339996,307.589996,291.359985,304.179993,304.179993,8375200
27-03-2018,304,304.269989,277.179993,279.179993,279.179993,13872000
28-03-2018,264.579987,268.679993,252.100006,257.779999,257.779999,21001400
29-03-2018,256.48999,270.959991,248.210007,266.130005,266.130005,15170700
02-04-2018,256.26001,260.329987,244.589996,252.479996,252.479996,16114000
03-04-2018,269.820007,273.350006,254.490005,267.529999,267.529999,18844400
04-04-2018,252.779999,288.369995,252,286.940002,286.940002,19896700
05-04-2018,289.339996,306.26001,288.200012,305.720001,305.720001,19121100
06-04-2018,301,309.279999,295.5,299.299988,299.299988,13520300
09-04-2018,300.369995,309.5,289.209991,289.660004,289.660004,10249800
10-04-2018,298.970001,307.100006,293.679993,304.700012,304.700012,10989800
11-04-2018,300.73999,308.980011,299.660004,300.929993,300.929993,7482900
12-04-2018,302.320007,303.950012,293.679993,294.079987,294.079987,7608800
13-04-2018,303.600006,303.950012,295.980011,300.339996,300.339996,7327200
16-04-2018,299,299.660004,289.01001,291.209991,291.209991,6338500
17-04-2018,288.869995,292.170013,282.51001,287.690002,287.690002,7000000
18-04-2018,291.079987,300.23999,288.160004,293.350006,293.350006,6557700
19-04-2018,291.079987,301.01001,288.549988,300.079987,300.079987,6090600
20-04-2018,295.170013,299.980011,289.75,290.23999,290.23999,5627900
23-04-2018,291.290009,291.619995,282.329987,283.369995,283.369995,4893400
24-04-2018,285,287.089996,278.459991,283.459991,283.459991,5685300
25-04-2018,283.5,285.160004,277.25,280.690002,280.690002,4013600
26-04-2018,278.75,285.790009,276.5,285.480011,285.480011,4356000
27-04-2018,285.369995,294.470001,283.829987,294.079987,294.079987,4364600
30-04-2018,293.609985,298.730011,292.5,293.899994,293.899994,4228200
01-05-2018,293.51001,300.820007,293.220001,299.920013,299.920013,4625600
02-05-2018,298.570007,306.850006,297.779999,301.149994,301.149994,8970400
03-05-2018,278.790009,288.040009,275.230011,284.450012,284.450012,17352100
04-05-2018,283,296.859985,279.519989,294.089996,294.089996,8569400
07-05-2018,297.5,305.959991,295.170013,302.769989,302.769989,8678200
08-05-2018,300.799988,307.75,299,301.970001,301.970001,5930000
09-05-2018,300.410004,307.01001,300.049988,306.850006,306.850006,5727400
10-05-2018,307.5,312.98999,304.109985,305.019989,305.019989,5651600
11-05-2018,307.700012,308.880005,299.079987,301.059998,301.059998,4679600
14-05-2018,303.320007,304.940002,291.619995,291.970001,291.970001,7286800
15-05-2018,285.01001,286.959991,280.5,284.179993,284.179993,9519200
16-05-2018,283.829987,288.809998,281.559998,286.480011,286.480011,5674000
17-05-2018,285.899994,289.190002,283.970001,284.540009,284.540009,4420600
18-05-2018,284.649994,284.649994,274,276.820007,276.820007,7251900
21-05-2018,281.329987,291.48999,281.299988,284.48999,284.48999,9182600
22-05-2018,287.76001,288,273.420013,275.01001,275.01001,8945800
23-05-2018,277.76001,279.910004,274,279.070007,279.070007,5985100
24-05-2018,278.399994,281.109985,274.890015,277.850006,277.850006,4176700
25-05-2018,277.630005,279.640015,275.609985,278.850006,278.850006,3875100
29-05-2018,278.51001,286.5,276.149994,283.76001,283.76001,5666600
30-05-2018,283.290009,295.01001,281.600006,291.720001,291.720001,7489700
31-05-2018,287.209991,290.369995,282.929993,284.730011,284.730011,5919700
01-06-2018,285.859985,291.950012,283.839996,291.820007,291.820007,5424400
04-06-2018,294.339996,299,293.549988,296.73999,296.73999,4797800
05-06-2018,297.700012,297.799988,286.73999,291.130005,291.130005,5995200
06-06-2018,300.5,322.170013,297.480011,319.5,319.5,18767300
07-06-2018,316.149994,330,313.579987,316.089996,316.089996,14345300
08-06-2018,319,324.480011,317.149994,317.660004,317.660004,8205200
11-06-2018,322.51001,334.660004,322.5,332.100006,332.100006,13183500
12-06-2018,344.700012,354.970001,338,342.769989,342.769989,22347400
13-06-2018,346.709991,347.200012,339.799988,344.779999,344.779999,9469800
14-06-2018,347.630005,358.75,346.600006,357.720001,357.720001,10981000
15-06-2018,353.839996,364.670013,351.25,358.170013,358.170013,10848300
18-06-2018,355.399994,373.730011,354.5,370.829987,370.829987,12073200
19-06-2018,365.160004,370,346.25,352.549988,352.549988,12761900
20-06-2018,358.040009,364.380005,352,362.220001,362.220001,8383700
21-06-2018,362,366.209991,346.269989,347.51001,347.51001,7967100
22-06-2018,351.540009,352.25,332,333.630005,333.630005,10266100
25-06-2018,330.119995,338.470001,327.5,333.01001,333.01001,6931300
26-06-2018,336.049988,343.549988,325.799988,342,342,7452500
27-06-2018,345,350.790009,339.5,344.5,344.5,8333700
28-06-2018,348.660004,357.019989,346.109985,349.929993,349.929993,8398000
29-06-2018,353.329987,353.859985,342.410004,342.950012,342.950012,6492400
02-07-2018,360.070007,364.779999,329.850006,335.070007,335.070007,18759800
03-07-2018,331.75,332.48999,309.690002,310.859985,310.859985,12282600
05-07-2018,313.76001,314.390015,296.220001,309.160004,309.160004,17476400
06-07-2018,304.950012,312.070007,302,308.899994,308.899994,8865500
09-07-2018,311.98999,318.519989,308,318.51001,318.51001,7596800
10-07-2018,324.559998,327.679993,319.200012,322.470001,322.470001,9471500
11-07-2018,315.799988,321.940002,315.070007,318.959991,318.959991,4884100
12-07-2018,321.429993,323.230011,312.769989,316.709991,316.709991,5721200
13-07-2018,315.579987,319.579987,309.25,318.869995,318.869995,5869800
16-07-2018,311.709991,315.160004,306.25,310.100006,310.100006,7818700
17-07-2018,308.809998,324.73999,308.5,322.690002,322.690002,6996200
18-07-2018,325,325.5,316.25,323.850006,323.850006,5624200
19-07-2018,316.329987,323.540009,314.01001,320.230011,320.230011,5915300
20-07-2018,321.230011,323.23999,311.709991,313.579987,313.579987,5162200
23-07-2018,301.839996,305.5,292.859985,303.200012,303.200012,10992900
24-07-2018,304.420013,307.720001,292.549988,297.429993,297.429993,9590800
25-07-2018,296.73999,309.619995,294.5,308.73999,308.73999,7075400
26-07-2018,304.850006,310.700012,303.640015,306.649994,306.649994,4630500
27-07-2018,307.25,307.690002,295.339996,297.179993,297.179993,5703300
30-07-2018,295.899994,296.100006,286.130005,290.170013,290.170013,6814100
31-07-2018,292.25,298.320007,289.070007,298.140015,298.140015,5076900
01-08-2018,297.98999,303,293,300.839996,300.839996,10129400
02-08-2018,328.440002,349.98999,323.160004,349.540009,349.540009,23215000
03-08-2018,347.809998,355,342.529999,348.170013,348.170013,13656500
06-08-2018,345.459991,354.980011,341.820007,341.98999,341.98999,8564300
07-08-2018,343.839996,387.459991,339.149994,379.570007,379.570007,30875800
08-08-2018,369.089996,382.640015,367.119995,370.339996,370.339996,24571200
09-08-2018,365.549988,367.01001,345.730011,352.450012,352.450012,17183800
10-08-2018,354,360,346,355.48999,355.48999,11552000
13-08-2018,361.130005,363.190002,349.019989,356.410004,356.410004,10463900
14-08-2018,358.450012,359.200012,347.100006,347.640015,347.640015,6986400
15-08-2018,341.910004,344.48999,332.140015,338.690002,338.690002,9101300
16-08-2018,339.910004,342.279999,333.820007,335.450012,335.450012,6064000
17-08-2018,323.5,326.769989,303.529999,305.5,305.5,18958600
20-08-2018,291.700012,308.5,288.200012,308.440002,308.440002,17402300
21-08-2018,310.609985,324.790009,309,321.899994,321.899994,13172200
22-08-2018,320.869995,323.880005,314.670013,321.640015,321.640015,5946000
23-08-2018,319.140015,327.320007,318.100006,320.100006,320.100006,5147300
24-08-2018,320.700012,323.850006,319.399994,322.820007,322.820007,3602600
27-08-2018,318,322.440002,308.809998,319.269989,319.269989,13079300
28-08-2018,318.410004,318.880005,311.190002,311.859985,311.859985,7649100
29-08-2018,310.269989,311.850006,303.690002,305.01001,305.01001,7447400
